Positive, Negative
0.0,0.0
0.05,-0.05
0.09,-0.11
0.15000000000000002,-0.19
0.2,-0.22000000000000003
0.27,-0.25
0.33999999999999997,-0.3
0.39999999999999997,-0.35000000000000003
0.45,-0.39
0.52,-0.44
