Strain,Stress
0.04360311679687401, 186.04283012879023
0.20868765904533282, 480.71453143614053
0.33117008383933233, 746.1000332111435
0.4130207735060445, 969.6954105884579
0.492780488441819, 1245.9433845585918
0.5498403187386935, 1518.5278204492533
0.6167624503433389, 1799.9723424079493
0.6843737491747304, 2125.16093474385
0.7600461700146457, 2443.1554619840135
0.8099496075349608, 2766.3992817165163
0.8689276385756857, 3082.9401694683547
0.9243275996511298, 3450.679301749926
0.9717881655649994, 3734.057503946533
1.0168721486926422, 4045.052646427859
1.0519058734316153, 4336.8228978644365
1.1090598611112303, 4631.857984702274
1.1283249870462335, 4884.533800823003
1.1659624211975566, 5177.004208265895
1.2198358893153387, 5542.507896705483
1.2507288199037874, 5854.65547925299
1.302076328753501, 6160.48233583842
1.3393292396451553, 6516.298430304167
1.385421523275683, 6861.002954941938
1.4231312220465344, 7170.7039576035095
1.4715205437291223, 7494.66350302842
1.508638249848756, 7818.241709665654
1.5607105263333396, 8141.849897439977
1.589421436047276, 8476.32845884686
1.6456654556491952, 8864.453935659569
1.6834340428696002, 9188.196153011633
1.721033698128687, 9471.658655836869
1.755126539741518, 9787.135809684314
1.7991047224827843, 10103.18612223964
1.8448942939513275, 10479.066350254141
1.8752391068361292, 10789.714160963616
1.9125608411749526, 11110.263528863743
1.9660774541688835, 11468.194799585111
2.0039685915274736, 11821.157565510795
2.038538276024, 12105.636856139019
2.068330725242487, 12408.604816561781
2.116945388211775, 12713.946630884086
2.149386319085126, 13007.619401987426
2.1739601527180996, 13285.846595841022
2.230280108448442, 13692.078093274651
2.1928543202728594, 13450.07202317251
2.271187613763268, 14040.780652264082
2.3057246626251677, 14317.478383761287
2.3402951241606136, 14602.142949606914
2.3658231837880352, 14901.186135011429
2.41885609005448, 15247.13721739821
2.4476337264438994, 15597.52592049021
2.489165901671652, 15888.46594284299
2.5386209754013755, 16311.510290256536
2.576332462595137, 16621.637720005787
2.6108771708406735, 16900.16173578884
2.62722995490481, 17181.901478575957
2.677719945803905, 17438.29435056088
2.72093774045951, 17821.088351741484
2.7403730379179176, 18114.33944047396
2.7806265401005987, 18410.45676214284
2.8342610965019777, 18796.510164077496
2.8723515443434593, 19196.99602326762
2.9288053644536847, 19635.145808779733
2.8912802124262518, 19369.447670251902
2.948175779162302, 19912.926416858878
2.9886703854211962, 20163.178357199613
3.02334212102917, 20471.99045971372
3.057865701216463, 20745.476754109233
3.089110436175785, 20960.638830961667
3.112968250645409, 21223.17065730424
3.1442669898096467, 21523.556905916448
3.1956904264623684, 21878.49388838124
3.2186864245994107, 22193.92046917479
3.271095726297956, 22494.534471902884
3.329225660984962, 22867.2414715654
3.383552017911649, 23159.86197500273
3.527344492883233, 23442.034475488163
3.7279879507214257, 23533.57981470939
3.9286102165890826, 23620.072193455926
4.129274866397812, 23716.67049315184
4.330003092118148, 23828.427674271818
4.530765224991343, 23948.269592151293
4.731518881076323, 24066.090325840894
4.932251345190767, 24178.858099055808
5.132958378940568, 24285.562319701097
5.3336399823257254, 24386.20298777676
5.534258009799275, 24471.684774428362
5.734833653331752, 24547.06064013059
5.935349959346729, 24608.28821650369
6.135870503755812, 24670.52638497173
6.336285088312216, 24707.49975106633
6.536729341627369, 24751.547261825493
6.737110019030917, 24780.435891160592
6.937376259793567, 24782.03853393238
7.137650977344432, 24785.662360894046
7.337836688619047, 24768.06375386202
7.53808597580527, 24765.62402825406
7.738208111168275, 24732.86653979797
7.938205213905118, 24670.29658454123
8.13805990659996, 24573.770734894584
8.337592905182065, 24400.540945242185
8.51867066430315, 24167.742645610022
8.672397324531453, 23924.695677239455
8.807894318687971, 23675.865353884692
8.95246351974536, 23419.76303895294
9.088101768476916, 23204.613103333624
9.196294447538461, 22956.68912303124
9.304365020484061, 22679.650465708037
9.400321556672242, 22408.072935042037
9.493235985489973, 22134.61836973574
9.601166691430036, 21824.2301732796
9.675820705635878, 21537.660647957506
9.749918581986368, 21325.19427175
9.819013548755438, 21056.736621724885
9.894061151675013, 20760.659770833074
9.968754665359272, 20483.508402395742
10.031490845134908, 20249.181996125662
10.094152429174255, 19997.069168984686
10.159113160371302, 19673.03743525657
10.20232285162103, 19020.362935596946
