Elongation,Force
0.052560653685370884, 32.43086310567742
0.23712708702882956, 289.9898134365285
0.3699383939464629, 707.1858066096866
0.5832688631828733, 1573.169565166314
0.7172884609898251, 2278.467417261443
0.8641933624493483, 2677.5866470959154
0.9469390159422362, 2873.416481276665
1.013185091618509, 3041.895613914072
1.1174710854053742, 3226.739338832056
1.2009706146577408, 3395.614155413139
1.2775110869508677, 3558.8469802780164
1.3783489150289847, 3727.6770431175137
1.4883993831418654, 3922.719639742787
1.5892582578741485, 4096.568014185144
1.699162642670134, 4256.77886993824
1.8182244311342528, 4430.031838308412
1.9372895497651694, 4604.078843324609
2.0715283267345246, 4778.717800906677
2.230147684762147, 4978.798022560506
2.367437482143618, 5157.439218155301
2.5137917913619647, 5326.9736303517675
2.660087822661337, 5482.612401242841
2.8063448077549964, 5628.941092459303
2.95261577954921, 5778.604737589063
3.0988098244903766, 5909.926136195707
3.2449931851463987, 6038.700000563029
3.3911143826888486, 6152.651847537931
3.537234608932649, 6266.372100491077
3.6833150119318168, 6370.596998552206
3.8294031853201815, 6476.67464878739
3.9754185113098286, 6565.382747390831
4.121453263272467, 6658.722726429405
4.267507441208096, 6756.694585903111
4.413503341224752, 6840.770804071424
4.559388513195357, 6898.445303759494
4.705444633728286, 6996.880351276712
4.851259872196121, 7037.880081398314
4.997240231434383, 7118.250795218522
5.143063240291416, 7161.103277514179
5.289031943945884, 7238.694863073313
5.434965680848967, 7307.94906384921
5.580724583995128, 7335.516340708931
5.72670494323339, 7415.887054529143
5.872522124298524, 7457.349972694257
6.018310166404173, 7491.865070206677
6.164150658636897, 7538.886244893947
6.309975610091229, 7582.201915233116
6.4558491264780375, 7637.097286660111
6.601658537153975, 7676.707452651175
6.747434923675829, 7708.443421902517
6.893154974876007, 7726.746937891978
7.03895272996815, 7763.577975621964
7.184725231295404, 7794.387568786278
7.330544354957839, 7836.313674994908
7.476278004339111, 7857.859507288966
7.622071874236656, 7893.764168931924
7.7677958106314335, 7912.994061008412
7.913548885985696, 7939.171773737598
8.059331100299447, 7972.297307119479
8.205090003445607, 7999.864583979201
8.35073235075382, 7999.640578228144
8.496473770524288, 8023.0391626962555
8.64227929600563, 8061.722952600292
8.787997404608507, 8079.563280546245
8.93363975191672, 8079.3392747951875
9.079338434546608, 8092.547722306004
9.225066904440206, 8112.85857050788
9.370759110973973, 8124.5228738498045
9.516512186328235, 8150.700586578991
9.6622652616825, 8176.878299308177
9.807919264574506, 8179.4334218181975
9.953631545385488, 8195.884185633611
10.099407931907342, 8227.62015488495
10.245179323178997, 8258.165069167262
10.394675506014796, 8246.65726152412
10.536498152005107, 8265.855933286872
10.66412873715572, 8311.805037089685
10.827817813372915, 8273.745306567998
10.973477644056821, 8277.689993208558
11.119271513954367, 8313.594654851517
11.264878894511194, 8305.033264317222
11.4105328974032, 8307.588386827243
11.556326767300746, 8343.493048470202
11.701980770192755, 8346.048170980226
11.84770470658753, 8365.278063056718
11.993347053895743, 8365.05405730566
12.13904767912293, 8378.725692859993
12.28473859136362, 8390.081388196759
12.430303234779867, 8371.329860705184
12.576038826758438, 8393.338881042753
12.721704485234241, 8398.673131813852
12.86739928266953, 8410.955203237649
13.01309408010482, 8423.237274661442
13.15876556637252, 8429.96108956308
13.304396258096936, 8426.957955550944
13.45003860540515, 8426.733949799887
13.595692608297156, 8429.289072309908
13.741410716900036, 8447.12940025586
13.887076375375838, 8452.463651026963
14.032724550475947, 8453.629209406445
14.17836689778416, 8453.405203655388
14.323976220938288, 8445.307001164609
14.469581658897814, 8436.282422586803
14.615224006206029, 8436.058416835745
14.760872181306139, 8437.223975215227
14.906545610171134, 8444.410978160384
15.052232637217228, 8454.840297410126
15.19781087881457, 8439.331086223137
15.343587265336422, 8471.06705547448
15.489206301477045, 8465.284793201266
15.634807854241975, 8455.333838536437
15.780432718174497, 8450.94114039376
15.926057582107019, 8446.548442251085
16.071705757207127, 8447.71400063057
16.21727817101257, 8430.815225313047
16.362815618066627, 8405.579065212285
16.508463793166737, 8406.744623591767
16.654111968266847, 8407.910181971249
16.79975431557506, 8407.686176220192
16.945297590421017, 8383.839580249969
17.09087000422646, 8366.940804932448
17.23647738478329, 8358.379414398158
17.381974037294064, 8323.416305383624
17.527494000972432, 8294.011452891245
17.673004251664302, 8262.290660181301
17.818465937423696, 8218.990166383534
17.96394899175338, 8180.784741064406
18.109381538553286, 8130.536426613948
18.254827683534284, 8083.5304284680715
18.40020000981792, 8018.923284668708
18.545646154798916, 7971.917286522832
18.691006825498757, 7904.531014462387
18.836336414641806, 7829.733733705736
18.98162132404698, 7744.283127948282
19.12690040566025, 7657.442958060288
19.27206098883828, 7542.3483175180045
19.41718660526492, 7418.9162921924835
19.56225005857799, 7280.662249474546
19.69815028043103, 7127.976530008982
19.82491085950553, 6966.483560038465
19.942566577543605, 6804.476611199207
20.032975573871397, 6657.108428073825
20.091454357406242, 6492.872267892257
20.10882117726053, 6292.920727892066

