Strain,Stress
0.00053500435488174,1.734113620278909
0.003707439212060084,6.079324719832773
0.004618563560185098,9.72634101390641
0.005663136979877144,11.811133230947943
0.006723395485190226,15.026833988255733
0.007937973919946767,17.964242260854252
0.008999524529977683,21.388221965333997
0.009498342074320392,23.53853131433316
0.010303458000272134,26.15225075986509
0.01104661802303006,28.56106090459022
0.011606552268533368,30.781005599016495
0.012533248884113762,33.428782658995935
0.012912910100257143,35.93582582019993
0.013894119960535618,38.986229734342466
0.014775332523664341,42.68682749711442
0.015557608685637683,45.53171737829504
0.01623254469124992,48.68163522167433
0.01719998922777701,52.02852470912533
0.01827384115680292,57.435397699076134
0.017580738298407908,54.71092299767333
0.019259619688770224,61.222242024119744
0.020009218034005297,64.66886822863617
0.020998782278445236,67.66851888662507
0.021319663090446448,70.48252271398364
0.021699572959044122,73.02964704715198
0.022444899810332274,75.78773597613784
0.023007045286589797,78.36411680696136
0.023354392340209286,81.53151500549887
0.02437897410257645,84.30657408206419
0.024698586195031135,86.91606850104274
0.02526712958774198,90.52375220121328
0.026271328065168742,93.92595029145853
0.026952934949906217,98.15117082644386
0.02751898837690181,101.35748811218028
0.028144171690544124,104.31317905753627
0.02877468327106409,108.12775225927125
0.029459384065766633,110.89529458393834
0.030155895852047955,115.56669257691206
0.029594381627408014,113.09206543562908
0.030907388692172844,119.31869913925208
0.03169387862520192,122.84282173818575
0.03237534175773925,127.04487034562916
0.03329892577741864,131.70628400434907
0.03260804937339749,129.34069938864744
0.03373568825360064,135.0331254013858
0.034483717720255075,138.22685849707952
0.035174919740585404,142.0423564637312
0.03579748332301289,144.57576363303423
0.03621773705231904,147.75686848923206
0.036566192385449066,151.10291419709637
0.0376409304560021,154.13726050260559
0.03806382833774627,157.74458567853145
0.03869542777275376,161.73451400761047
0.0392559281466128,164.04571494177694
0.039390045064145236,166.10053164276056
0.04032614385065347,170.26387801764207
0.03976690894017786,168.1566616193656
0.04095383588995068,173.62395935870978
0.041274550933649026,176.41124240475892
0.041920994032133126,179.99902134916866
0.042703836322462226,183.77362313125903
0.043344629237944805,187.28908467746973
0.04406558148837898,191.98733477931515
0.044664274435194676,194.58574252549818
0.0452327228071462,198.17810949209655
0.04595171603145838,202.56057721768002
0.04693136318717974,207.8744502192816
0.04636839848988979,205.1660162415398
0.04750705060171418,212.6337041625326
0.04865958654894016,218.14709850155646
0.04807221172901702,215.6961884926261
0.04939348870799819,223.25587903167062
0.049956841924747974,226.02693984060662
0.050487914724664094,229.46379527449994
0.051097845874369184,233.87372884642886
0.05184302619831822,236.60819851336433
0.05237517353205466,240.21826186896078
0.05279668606441065,243.60227765822805
0.053357008829373775,245.8848491838486
0.05426589571291571,251.53100193006787
0.05391748700212084,248.19247144194685
0.0548663292269114,254.40997788000132
0.0554681924925193,257.51942056872974
0.05581548226726985,260.6775857830111
0.05638287608640182,264.0999656363679
0.057133262571112536,267.673634841307
0.05780368620071279,273.03078158790845
0.057328843267189684,269.8540335235846
0.05885835557608235,277.44168979795927
0.05976944480993368,281.76593588780946
0.0603334196578192,284.6371996266564
0.06084896753727936,288.0869049934779
0.061602232237580205,292.1245239886931
0.06240377769612603,295.5601332178271
0.06315049655713598,298.5426051362921
0.0673647671378842,302.8990358594062
0.0702840246551356,303.9293498322103
0.07320491395411828,305.2226964960304
0.07612825092569787,306.91059219637464
0.07905158789727747,308.5984878967189
0.08197492486885706,310.2863835970631
0.08489837839627459,311.99306734676566
0.08782136570034034,313.624598899035
0.09074481922775789,315.3312826487375
0.0936665244176062,316.7561456580657
0.09658799649577862,318.1434325686773
0.0995086526830854,319.39920313378093
0.10242872609120245,320.56103345209306
0.10549510735018813,321.2964245216616
0.10826712456986728,322.602873348343
0.11118475030538741,323.3701546301311
0.11410179326171781,324.04349566512764
0.11701848655053433,324.6604725520494
0.11993494672767499,325.2398733402546
0.12284942545557051,325.4998772893688
0.1257642538509799,325.81624538655797
0.12867919880222722,326.15140153310534
0.13159216230422943,326.16716084056185
0.1345048926945557,326.1453440493018
0.13741750652904408,326.1047392086834
0.14032988725185652,326.0265582693484
0.14324051963709977,325.66655658963913
0.1461506857989912,325.2314027124967
0.14906143474007238,324.89018908214564
0.15197020223190844,324.2295786127038
0.1548768717186614,323.23078325481265
0.157782259091197,322.0253193539803
0.16068519879113566,320.425306416624
0.1634010164186654,318.0083703789915
0.1657551446302078,315.9813294574
0.16792525892501994,313.63838008508674
0.16991362381652483,311.344547221013
0.17226373917707502,308.670660600086
0.17479972224720666,306.6115018815793
0.17678715469200793,304.16736462263907
0.1785913458187762,301.5318568401523
0.18021389632768592,298.96300107863925
0.18165522581975377,296.5284343157899
0.18264294330169462,294.3394074126799
0.18417570696343824,291.9704650326306
0.185615016154315,289.21023874757094
0.18614985204271345,287.38449014684556
0.18777269782641262,284.8632307770402
0.18902948057506247,282.02686733783133
0.1902906147416623,279.8919244079985
0.19118357232735128,277.1011874470653
0.1925309345028653,274.19266936202905
0.19370313656511065,272.3954188422875
0.19446803147650688,269.92319624613026
0.19549282814563818,267.4226777196295
0.19656869447670255,264.76970271474056
