Positive,Negative
0.0,0.0
0.08272,-0.02935
0.13075,-0.1094
0.18678999999999998,-0.15476
0.24015,-0.19212
0.29886,-0.22947
0.36823,-0.26683    
0.42693,-0.31219
0.48831,-0.35221
0.5496800000000001,-0.39491
