Positive,Negative
0.0,0.0
0.05,-0.05
0.09,-0.11
0.15,-0.19
0.2,-0.22
0.27,-0.25
0.3399999999999999,-0.3
0.3999999999999999,-0.35
0.45,-0.39
0.52,-0.44
